"time","tweet"
"16:25:12","vaaaaa gracias dato"
"15:16:55","buen dia saque carro usado merkauto autorizaron credito lunes junio fecha llaman firmar contrato factura puedo saber listo tardando proceso gracias"
"20:38:17","esten bien atentos llega gracias compao correo vean quieren llegar ponganse listos"
