"time","tweet"
"","excelente gracias"
"","gracias respuesta"
"","llamar pelear resta tiempo kilos neuronas practicamente resta vida pitero"
"","hola excelente tarde podrian ayudar mande dm favor gracias "
"","encanta manda notificacion cobro "
"","algun tiempo estimado respuesta"
"","conociendo contraseña usuario entrar facilmente dispositivo llegue algun tipo notificacion via sms correo electronico sabes bien"
"","explica"
