"time","tweet"
"","gracias"
"","thanks"
"","gracias"
"","gracias ayudo suficiente cargo procedio poaron bn aun pude comunicar telefono amables mil gracias interes hizo cargo"
"","increible gracias heybancoheybanco"
"","contestaron"
