"time","tweet"
"","gracias respondi"
"","listo gracias"
"","perfecto gracias "
"","tremenda sabiduria quede anonadado mensaje creia cantidad ponia garantia utilizaba niños alimento indigentes despues entregaban tarjeta credito tremenda explicacion"
"","padrisima tarjeta"
"","bonito considerar adquirir tarjeta"
"","gracias mande datos tarjeta"
"","problema"
"","problema falla dalay"
"","pf sigues intermitencias bbva problema"
"","primera habia chichen itza esperando modelo bonito tambien"
"","bbva bancoppel dos trabajan perfeccion"
"","entiendo agradezco comentario sugerencia gustaria recibir notificacion correo texto servicio estara disponible caer situacion sirve mucha utilidad tarjeta gustaria seguir"
"","bien "
