"time","tweet"
"18:10:58","confirmo hoy septiembre funciona gracias"
"17:56:50","colonia mas bonita cool latinoamerica esperando descubre jonnah moreno increibles recintos disfruta increible belleza heymedia heydelocal guadalajara"
"17:55:31","lugar perfecto sentae trabajar tomas delicioso cafe despues ir joya literatura segunda mano descubre jonnah moreno lugares secretos colonia americana heymedia heydelocal guadalajara"
"17:52:22","cafeterias arquitectura unica bonitos pisos jonnah moreno muestra cara mas apacible colonia americana considerada mas bonita latinoamerica heymedia heydelocal guadalajara"
"16:43:55","gracias mandar actualizacion v app android aplicacion funciona nuevamente tras dias muea varios gracias"
"05:21:53","exacto normal"
