"topic","term","beta"
3,"excelente",0.0231126361991914
2,"gracias",0.13888888354804
3,"gracias",0.354386692507855
2,"espero",0.027777776682836
1,"cuenta",0.0568114822835492
4,"mas",0.0265518822141991
1,"buen",0.0243477781212036
2,"pude",0.0185185177936217
1,"hola",0.0324637041616045
1,"favor",0.0243477781212036
4,"tarjeta",0.0177012548032899
4,"credito",0.0354025096036977
3,"mes",0.023112636203389
