"","x"
"cuenta",4
"excelente",4
"hola",4
"mas",3
"tarjeta",3
"bien",3
"dia",3
"quedo",3
"resuelto",3
"aun",3
"bancos",3
"estan",3
"tambien",3
"finanzas",3
"correo",2
"electronico",2
"gusto",2
"mejor",2
"app",2
"respuesta",2
"resta",2
"tiempo",2
"ayudar",2
"mande",2
"notificacion",2
"algun",2
"tipo",2
"usuario",2
"funciono",2
"tenia",2
"nomina",2
"bueno",2
"buen",2
"dias",2
"duda",2
"funciona",2
"garantizada",2
"mitad",2
"semanapara",2
"listo",2
"saludos",2
"recomiendo",2
"afounadamente",2
"control",2
"movimientos",2
"notificaciones",2
"siempre",2
"boleto",2
"dorado",2
"llego",1
"apoya",1
"asesoriacondusefgobmx",1
"atenderemos",1
"condusef",1
"disposicion",1
"dudas",1
"erich",1
"escribenos",1
"ponemos",1
"recuerda",1
"saludae",1
"activacion",1
"año",1
"compao",1
"esperados",1
"link",1
"metalica",1
"navegacion",1
"pequeña",1
"productos",1
"tarjetadecredito",1
"unboxing",1
"video",1
"youtube",1
"visto",1
"kilos",1
"llamar",1
"neuronas",1
"pelear",1
"pitero",1
"practicamente",1
"vida",1
"favor",1
"podrian",1
"tarde",1
"cobro",1
"encanta",1
"manda",1
"estimado",1
"conociendo",1
"contraseña",1
"dispositivo",1
"entrar",1
"facilmente",1
"llegue",1
"sabes",1
"sms",1
"via",1
"explica",1
"hoy",1
"mañana",1
"normalidad",1
"nuevo",1
"razon",1
"ahi",1
"creo",1
"cuantos",1
"debitos",1
"garantia",1
"inversion",1
"meses",1
"normales",1
"voy",1
"cambie",1
"avisar",1
"envie",1
"espero",1
"mensaje",1
"puedan",1
"buenos",1
"espera",1
"sigo",1
"vez",1
"apoyo",1
"solicito",1
"tqm",1
"chale",1
"jajaja",1
"siii",1
"equipo",1
"aclaracion",1
"agradecido",1
"ayudaron",1
"banca",1
"dejado",1
"feliz",1
"haber",1
"rapidisimo",1
"tradicional",1
"enviado",1
"bajarles",1
"dominan",1
"españoles",1
"gusta",1
"mandado",1
"pais",1
"anual",1
"decide",1
"klar",1
"presumiendo",1
"sacar",1
"tentador",1
"compra",1
"hacer",1
"resuelveme",1
"urge",1
"alguna",1
"alternativas",1
"ampliamente",1
"cobrando",1
"comision",1
"cuentas",1
"debito",1
"entonces",1
"generando",1
"incorrecto",1
"llamados",1
"lugar",1
"peor",1
"tradicionales",1
"usen",1
"dijeron",1
"marcar",1
"jejeje",1
"paso",1
"respondi",1
"jaja",1
"nel",1
"okay",1
"aplicacion",1
"nuevamente",1
"contestan",1
"ayudan",1
"diciendome",1
"quiero",1
"trabajar",1
"eficiencia",1
"contesto",1
"nunca",1
"quedado",1
"abre",1
"ganar",1
"mes",1
"muchisimo",1
"obten",1
"reseñan",1
"varios",1
"youtubers",1
