"topic","term","beta"
1,"gracias",0.0347826086956522
2,"gracias",0.038834951309239
4,"gracias",0.191919191919192
2,"buena",0.0485436891365487
4,"pae",0.0202020202020202
4,"espera",0.0303030303030303
3,"dar",0.0388349516033824
3,"elevar",0.0388349516033824
3,"experiencia",0.0388349516033824
3,"fans",0.0388349516033824
3,"mas",0.0388349516033824
3,"punto",0.0388349516033824
3,"queremos",0.0388349516033824
3,"sorprender",0.048543689504228
3,"vamos",0.0388349516033824
2,"bueno",0.0291262134819292
1,"tarjeta",0.0434782608695652
4,"confianza",0.0202020202020202
4,"familia",0.0202020202020202
4,"felices",0.0202020202020202
4,"formes",0.0202020202020202
4,"klar",0.0202020202020202
1,"despues",0.0260869565217391
4,"mejor",0.0202020202020202
4,"creo",0.0202020202020202
4,"brillante",0.0202020202020202
4,"emprende",0.0202020202020202
4,"estudiante",0.0202020202020202
4,"gana",0.0202020202020202
4,"idea",0.0202020202020202
4,"paicipa",0.0202020202020202
4,"reto",0.0202020202020202
