"","x"
"mas",3
"tenia",3
"situacion",2
"hice",2
"problema",2
"experiencia",2
"innovacion",2
"servicios",2
"pronta",2
"tio",2
"estan",2
"comunique",1
"dieron",1
"espera",1
"folio",1
"posible",1
"respecto",1
"revuelva",1
"seguimiento",1
"palnoe",1
"readys",1
"tamos",1
"bueno",1
"gusto",1
"intento",1
"maite",1
"saludae",1
"tarde",1
"asi",1
"españa",1
"habla",1
"ningun",1
"numero",1
"tarjeta",1
"and",1
"developers",1
"eth",1
"gamechanger",1
"hes",1
"how",1
"learn",1
"making",1
"mev",1
"need",1
"over",1
"per",1
"strategy",1
"this",1
"web",1
"week",1
"you",1
"ahi",1
"bien",1
"cuenta",1
"cuento",1
"historial",1
"interesaba",1
"interesome",1
"nubank",1
"pagare",1
"plastico",1
"posterior",1
"realmente",1
"registre",1
"solicite",1
"tampoco",1
"tarjetapero",1
"usar",1
"resolvi",1
"agita",1
"agua",1
"bebedores",1
"darnos",1
"disenteria",1
"morir",1
"puerca",1
"buenas",1
"tardes",1
"adivinen",1
"buena",1
"estoyque",1
"beneficia",1
"competencia",1
"competenciafinanciera",1
"dando",1
"financiera",1
"fintech",1
"generando",1
"industria",1
"noticias",1
"numexico",1
"seguramente",1
"usuariosbancadigital",1
"veremos",1
"años",1
"clientes",1
"crecer",1
"festivales",1
"ganando",1
"gran",1
"jovenes",1
"junto",1
"mercado",1
"musica",1
"patrocinar",1
"permite",1
"terreno",1
"ventaja",1
"contestar",1
"volvi",1
"solucionaron",1
"respuesta",1
"devolucion",1
"pagarle",1
"sirvio",1
"brevedad",1
"mando",1
"checkup",1
"descuento",1
"fantastico",1
"super",1
"arreglar",1
"contacto",1
"correcto",1
"esperare",1
"inversion",1
"pae",1
"pro",1
"adicional",1
"agregar",1
"debido",1
"dia",1
"error",1
"excelente",1
"igual",1
"incidencia",1
"manera",1
"mostraba",1
"notificaban",1
"nuevamente",1
"quiero",1
"recibi",1
"sms",1
"solucionado",1
"sopoe",1
"trabajando",1
"comunicarme",1
"entonces",1
"voy",1
"enviando",1
"mensajes",1
"proceso",1
"resolver",1
"saludos",1
"segun",1
