"time","tweet"
"17:23:29","beneficios mercado mas competitivo"
"16:40:17","bendita competencia bienvenido cashback asi ciento dice cancion"
"15:49:20","ojo aca regresan recompensas "
"13:16:52","gracias escuchaste seguire contigo "
"11:00:45","mejor pudiste hacer amigo"
"04:47:53","tsss bueno "
"04:44:46","hiciste bien tio "
