"time","tweet"
"","gracias informacion "
"","gracias"
"","listo"
"","asi da bienvenida tarjeta metal aun beneficios adicionales "
"","cayo app buena experiencia fallen necesita"
"","verdad menos tedioso proceso hablar alguien agrada experiencia"
