"time","tweet"
"","gracias"
"","solucionado gracias"
"","alch hechate investigadas cetes gmb cetes ocupas investigar chido seguro dinero seguro rapido"
"","excelente servicio atencion clientes "
"","primera vez gane boleto dorado dor quiero "
