"time","tweet"
"20:52:45","gracias ultimas recompensas adios vaquero bueno duro"
"20:52:13","mañana compramos "
"20:19:11"," gracias venta exclusiva agotada totalidad venta libre boleto tempranero tendra lugar mañana octubre pair hrs"
"20:08:25","gracias gracias venta tempranera tqm"
"19:47:04","tecate pal noe aprovechen hoy buenos descuentos abono tempranero"
"18:44:33","gracias confianza felices formes pae familia klar queremos"
"18:10:40","seria mas adecuado despues costo menos meses prueba scotia tarjeta ideal despues decides"
