"time","tweet"
"","saludos bro gracias ver videos"
"","gracias"
"","gracias tocayo fan "
"","hola permiteme conocer mas caso via mensaje privado poder dae atencion necesaria rapida saludos"
"","ojito ahi dinamicas dia hoy gane dinamica abono pal noe etiqueta"
"","facil"
