"time","tweet"
"","gracias bro"
"","gracias envie"
"","gracias responder quedo espera solucion problema"
"","hice varias transferencias rato bien"
"","veces cuestion limpiar chip pasarla asi solucionado inconveniente"
"","contesta compairles colaboracion hice"
"","ah gracias mencionas evidente relevancia excelente comentario"
"","agradecemos comprension jaja increible"
"","correcto bbva bbva problemas avisaron aproximadamente"
