"time","tweet"
"05:06:15","ay suena super bien justo anda gustando ahorita nu pae hacer crecer dinero jajk inversion quiero entrarle mas tema mas fan neobanks definitivamente fin mande alv banamex abrire "
"02:59:57","facil entro pagos elijo tarjeta elijo plazo meses aceptar token error pagado problemas puedo hacer operaciones token problemas"
"02:24:11"," nuevo diseño tdc mamalon chavos pronto regrese usa voy solicitar nuevo diseño carisimo envio cieo obama cieo programa recompensas bastante aceptable eh "
"02:11:00"," tarjetas credito tdc anualidad diseños chingones aunque usar tdc debes aprender usarla papucho personalmente uso va bien aceptan incluso gabacho checa"
