"time","tweet"
"03:53:49","invex acelerador conviene muchisimo gastas k arriba mes año llevo mil vuelos muchas tarjetitas uber starbies"
"01:00:57","despues ver entrevista creo excelente opcion"
"00:57:59","tweet agradecer rapidez resolvieron cargos reconocidos necesitaba urgentemente dinero robaron tarjeta ayudaron dias tambien cosas buenas deberian compairse gracias"
"00:50:37","reflexione creo estan bien membresias"
"00:14:08","meses lograron años felicidades"
"00:08:41","mejor idea clientes"
