"time","tweet"
"13:37:20","uy contacte incluso mande video correo electronico señalo persona contesto actualice sistema operativo sigue igual sucede app apps bancos funcionan perfecto"
"12:36:49"," promocion clientes aprovecha compras temporada recibe recompensas efectivo list p"
