"time","tweet"
"","gracias conteste"
"","ayuda"
"","gracias volvi contestar par horas"
"","mas rapido marcar hacer caa hechos ponia datos queria cambiar hicieron fin pude instalar token chico atendio super bueno amable llama christhian hernandez "
